,Pickup_DateTime,DropOff_datetime,PUlocationID,DOlocationID,SR_Flag,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,duration,share_cost_min,share_cost_max,solo_cost_min,solo_cost_max
0,20/07/2017 22:43,20/07/2017 23:27,107,244,1,40.7371988,-73.98810636,40.84775519,-73.93834214,2664,3500,4200,5000,6000
1,20/07/2017 22:44,20/07/2017 23:05,137,239,0,40.73692747,-73.97449145,40.78159836,-73.97234219,1297,900,1200,2400,2800
2,20/07/2017 22:04,20/07/2017 22:08,148,232,0,40.71856132,-73.98824944,40.71483667,-73.98378141,262,400,600,1000,1200
3,20/07/2017 22:12,20/07/2017 22:28,170,114,0,40.75162784,-73.97894833,40.73042197,-74.00040888,936,600,800,1500,1800
4,20/07/2017 22:13,20/07/2017 22:41,162,148,0,40.75862045,-73.97237118,40.71916984,-73.9930118,1494,1800,2100,2500,3000
5,20/07/2017 22:31,20/07/2017 22:42,114,137,0,40.72495908,-73.99266139,40.74268846,-73.98014436,627,400,600,1200,1500
6,20/07/2017 22:07,20/07/2017 22:14,79,249,1,40.72971945,-73.98987075,40.73424291,-74.00015315,472,400,600,1200,1500
7,20/07/2017 22:20,20/07/2017 22:47,249,162,0,40.73039977,-74.00590486,40.76139709,-73.96973546,1143,1200,1500,2000,2500
8,20/07/2017 22:28,20/07/2017 22:36,107,186,0,40.73951496,-73.98577165,40.74634578,-73.99354154,662,400,600,900,1200
9,20/07/2017 22:40,20/07/2017 23:04,186,236,0,40.74567581,-73.99123595,40.78547247,-73.95484152,1392,800,1000,2500,3000
10,20/07/2017 22:05,20/07/2017 22:39,114,148,0,40.73133281,-74.00100122,40.7151684,-73.99161543,878,600,800,1500,1800
11,20/07/2017 22:04,20/07/2017 22:24,158,164,0,40.74038172,-74.00574844,40.74749017,-73.98564365,1168,1200,1500,1500,1800
12,20/07/2017 22:11,20/07/2017 22:18,230,162,0,40.75653725,-73.98349995,40.75287792,-73.97744568,434,400,600,1000,1200
13,20/07/2017 22:32,20/07/2017 22:49,234,261,0,40.73583803,-73.99069913,40.70556644,-74.01605557,1003,1200,1500,2100,2400
14,20/07/2017 22:56,20/07/2017 23:16,261,79,1,40.70527778,-74.01593771,40.72367277,-73.98788699,1203,1000,1200,2000,2500
15,20/07/2017 22:07,20/07/2017 22:28,224,263,0,40.73476958,-73.97962379,40.77421917,-73.9540114,922,1000,1200,1800,2100
16,20/07/2017 22:35,20/07/2017 22:46,263,42,0,40.78410275,-73.94985287,40.80818255,-73.93917533,723,800,1000,1200,1500
17,20/07/2017 22:58,20/07/2017 23:22,233,114,0,40.75231917,-73.96766304,40.72867392,-74.00146303,1355,1200,1500,2500,3000
18,20/07/2017 22:17,20/07/2017 22:33,246,239,0,40.75015468,-74.00271945,40.78528218,-73.97241992,955,1200,1500,2000,2500
19,20/07/2017 22:22,20/07/2017 22:37,243,143,0,40.85121112,-73.93843079,40.78095551,-73.98366547,923,1800,2100,2100,2400
20,20/07/2017 22:44,20/07/2017 22:54,48,229,0,40.76438691,-73.98835088,40.75509967,-73.96863338,600,800,1000,1200,1500
21,20/07/2017 22:51,20/07/2017 22:59,211,261,0,40.72569737,-74.00320841,40.70972223,-74.0107531,471,600,800,1000,1200
22,20/07/2017 22:01,20/07/2017 22:14,262,230,0,40.77168045,-73.9472047,40.75927329,-73.98169775,1250,1200,1500,2100,2400
23,20/07/2017 22:16,20/07/2017 22:32,230,234,0,40.75659801,-73.98358577,40.74068846,-73.9932237,972,600,800,1500,1800
24,20/07/2017 22:06,20/07/2017 22:24,170,140,0,40.7439321,-73.98019135,40.7682111,-73.9551969,1088,600,800,1800,2100
25,20/07/2017 22:34,20/07/2017 22:43,107,144,0,40.73505273,-73.98299209,40.72383006,-73.99497206,556,400,600,1200,1500
26,20/07/2017 22:03,20/07/2017 22:21,45,79,1,40.71330704,-74.00377153,40.73065203,-73.98342333,727,900,1200,1200,1500
27,20/07/2017 22:06,20/07/2017 22:16,45,113,1,40.7152825,-74.00185602,40.73386172,-73.99882355,561,600,800,1200,1500
