Matching_area,sum_COUNTHU10,sum_TOTPOP10,sum_P_WRKAGE,sum_AUTOOWN0,sum_PCT_AO0,sum_AUTOOWN1,sum_PCT_AO1,sum_AUTOOWN2P,sum_PCT_AO2P,sum_WORKERS,sum_R_LOWWAGEW,sum_R_MEDWAGEW,sum_R_HIWAGEWK,sum_R_PCTLOWWA,sum_EMPTOT,sum_E5_RET10,sum_E5_OFF10,sum_E5_IND10,sum_E5_SVC10,sum_E5_ENT10,sum_E8_RET10,sum_E8_OFF10,sum_E8_IND10,sum_E8_SVC10,sum_E8_ENT10,sum_E8_ED10,sum_E8_HLTH10,sum_E8_PUB10,sum_E_FEDT10,sum_E_FEDRET10,sum_E_FEDOFF10,sum_E_FEDIND10,sum_E_FEDSVC10,sum_E_FEDENT10,sum_E_LOWWAGEW,sum_E_MEDWAGEW,sum_E_HIWAGEWK,sum_E_PCTLOWWA,sum_AC_TOT,sum_AC_WATER,sum_AC_LAND,sum_AC_UNPR,sum_D1A,sum_D1B,sum_D1C,sum_D1C5_Ret10,sum_D1C5_Off10,sum_D1C5_Ind10,sum_D1C5_Svc10,sum_D1C5_Ent10,sum_D1C8_Ret10,sum_D1C8_Off10,sum_D1C8_Ind10,sum_D1C8_Svc10,sum_D1C8_Ent10,sum_D1C8_Ed10,sum_D1C8_Hlth1,sum_D1C8_Pub10,sum_D1D,sum_D1_flag,sum_D2A_JPHH,sum_D2B_E5MIX,sum_D2B_E5MIXA,sum_D2B_E8MIX,sum_D2B_E8MIXA,sum_D2A_EPHHM,sum_D2C_TRPMX1,sum_D2C_TRPMX2,sum_D2C_TRIPEQ,sum_D2R_JOBPOP,sum_D2R_WRKEMP,sum_D2A_WRKEMP,sum_D2C_WREMIX,sum_D3a,sum_D3aao,sum_D3amm,sum_D3apo,sum_D3b,sum_D3bao,sum_D3bmm3,sum_D3bmm4,sum_D3bpo3,sum_D3bpo4,sum_D4a,sum_D4b025,sum_D4b050,sum_D4c,sum_D4d,sum_D5ar,sum_D5ae,sum_D5br,sum_D5br_Flag,sum_D5be,sum_D5be_Flag,sum_D5cr,sum_D5cri,sum_D5ce,sum_D5cei,sum_D5dr,sum_D5dri,sum_D5de,sum_D5dei,sum_Shape_Leng,sum_Shape_Area,mean_COUNTHU10,mean_TOTPOP10,mean_P_WRKAGE,mean_AUTOOWN0,mean_PCT_AO0,mean_AUTOOWN1,mean_PCT_AO1,mean_AUTOOWN2P,mean_PCT_AO2P,mean_WORKERS,mean_R_LOWWAGEW,mean_R_MEDWAGEW,mean_R_HIWAGEWK,mean_R_PCTLOWWA,mean_EMPTOT,mean_E5_RET10,mean_E5_OFF10,mean_E5_IND10,mean_E5_SVC10,mean_E5_ENT10,mean_E8_RET10,mean_E8_OFF10,mean_E8_IND10,mean_E8_SVC10,mean_E8_ENT10,mean_E8_ED10,mean_E8_HLTH10,mean_E8_PUB10,mean_E_FEDT10,mean_E_FEDRET10,mean_E_FEDOFF10,mean_E_FEDIND10,mean_E_FEDSVC10,mean_E_FEDENT10,mean_E_LOWWAGEW,mean_E_MEDWAGEW,mean_E_HIWAGEWK,mean_E_PCTLOWWA,mean_AC_TOT,mean_AC_WATER,mean_AC_LAND,mean_AC_UNPR,mean_D1A,mean_D1B,mean_D1C,mean_D1C5_Ret10,mean_D1C5_Off10,mean_D1C5_Ind10,mean_D1C5_Svc10,mean_D1C5_Ent10,mean_D1C8_Ret10,mean_D1C8_Off10,mean_D1C8_Ind10,mean_D1C8_Svc10,mean_D1C8_Ent10,mean_D1C8_Ed10,mean_D1C8_Hlth1,mean_D1C8_Pub10,mean_D1D,mean_D1_flag,mean_D2A_JPHH,mean_D2B_E5MIX,mean_D2B_E5MIXA,mean_D2B_E8MIX,mean_D2B_E8MIXA,mean_D2A_EPHHM,mean_D2C_TRPMX1,mean_D2C_TRPMX2,mean_D2C_TRIPEQ,mean_D2R_JOBPOP,mean_D2R_WRKEMP,mean_D2A_WRKEMP,mean_D2C_WREMIX,mean_D3a,mean_D3aao,mean_D3amm,mean_D3apo,mean_D3b,mean_D3bao,mean_D3bmm3,mean_D3bmm4,mean_D3bpo3,mean_D3bpo4,mean_D4a,mean_D4b025,mean_D4b050,mean_D4c,mean_D4d,mean_D5ar,mean_D5ae,mean_D5br,mean_D5br_Flag,mean_D5be,mean_D5be_Flag,mean_D5cr,mean_D5cri,mean_D5ce,mean_D5cei,mean_D5dr,mean_D5dri,mean_D5de,mean_D5dei,mean_Shape_Leng,mean_Shape_Area
4,12290,27653,11.54931,10108,11.5198,1808,2.08787,353,0.39215,10600,2617,3322,4661,3.51057,2004,271,242,48,1240,203,271,241,48,177,203,101,962,1,0,0,0,0,0,0,535,1075,394,3.89,186.7421086,2.37,184.3548951,161.72236,1116.048121,2540.297174,183.7608221,21.01712604,18.60412561,3.858156574,17.2011952,17.56638398,21.01712604,18.52826289,3.858156574,17.2011952,17.2011952,10.65164729,94.86218736,0.075862718,1299.808943,0,2.226984,5.411557,5.411557,5.696542,5.088224,3.639997,5.243957,5.86608,2.555472,0.844569,3.735814,520.62294,1.060547,411.9724,44.54721902,64.02470075,303.4005002,1578.103,59.55278884,158.82,557.0053648,744.9523321,418.2809653,7947.348152,0.299341269,7.235518376,0,0,15842771.72,18429184.59,1721203.63,8,766522.33,9,0.002459,10.41,0.14,12.03,0.002598644,3.15,0.001946347,0.91,18505.1774,1317067.714,877.8571429,1975.214286,0.824950714,722,0.822842857,129.1428571,0.149133571,25.21428571,0.028010714,757.1428571,186.9285714,237.2857143,332.9285714,0.250755,143.1428571,19.35714286,17.28571429,3.428571429,88.57142857,14.5,19.35714286,17.21428571,3.428571429,12.64285714,14.5,7.214285714,68.71428571,0.071428571,0,0,0,0,0,0,38.21428571,76.78571429,28.14285714,0.277857143,13.33872204,0.169285714,13.16820679,11.55159714,79.71772289,181.4497982,13.125773,1.501223289,1.328866115,0.275582612,1.2286568,1.254741713,1.501223289,1.323447349,0.275582612,1.2286568,1.2286568,0.760831949,6.775870526,0.005418766,92.8434959,0,0.159070286,0.386539786,0.386539786,0.406895857,0.363444571,0.259999786,0.374568357,0.419005714,0.182533714,0.060326357,0.266843857,37.18735286,0.075753357,29.4266,3.181944215,4.573192911,21.6714643,112.7216429,4.253770631,11.34428571,39.78609749,53.21088086,29.87721181,567.6677251,0.021381519,0.516822741,0,0,1131626.552,1316370.328,122943.1164,0.571428571,54751.595,0.642857143,0.000175643,0.743571429,0.01,0.859285714,0.000185617,0.225,0.000139025,0.065,1321.798386,94076.26525
12,1,11,0.90909,0,0,0,0,0,0,131,38,44,49,0.29007,1330,0,736,81,224,289,0,605,81,223,289,1,0,131,334,0,134,0,0,200,53,188,1089,0.03,31.97,8.78,23.19,1.35984,0.735381259,8.089193844,978.0570738,0,541.2406063,59.56588194,163.9900206,212.5251837,0,444.9056614,59.56588194,163.9900206,163.9900206,0.735381259,0,96.33494487,978.7924551,0,1330,0.814819,0.701847,0.777763,0.670163,0.705145,0.594548,0.663926,0.368066,0.03822,0.178493,0.098496,0.405959,100.06,41.38591559,1.447542018,57.2261611,901.865,0,13.78611445,0,1007.323811,220.784623,843.821617,1,1,146.6666667,4047.722667,1072943.814,1209904.366,296045.58,0,89600.23,0,0.000167,0.7,0.01,0.79,0.000446965,0.55,0.000227512,0.11,2546.297878,214229.5245,1,11,0.90909,0,0,0,0,0,0,131,38,44,49,0.29007,1330,0,736,81,224,289,0,605,81,223,289,1,0,131,334,0,134,0,0,200,53,188,1089,0.03,31.97,8.78,23.19,1.35984,0.735381259,8.089193844,978.0570738,0,541.2406063,59.56588194,163.9900206,212.5251837,0,444.9056614,59.56588194,163.9900206,163.9900206,0.735381259,0,96.33494487,978.7924551,0,1330,0.814819,0.701847,0.777763,0.670163,0.705145,0.594548,0.663926,0.368066,0.03822,0.178493,0.098496,0.405959,100.06,41.38591559,1.447542018,57.2261611,901.865,0,13.78611445,0,1007.323811,220.784623,843.821617,1,1,146.6666667,4047.722667,1072943.814,1209904.366,296045.58,0,89600.23,0,0.000167,0.7,0.01,0.79,0.000446965,0.55,0.000227512,0.11,2546.297878,214229.5245
13,7785,13386,4.94381,5392,3.9543,2117,1.85764,266,0.18799,5790,592,568,4630,0.60878,16221,197,9132,474,4977,1441,197,8998,474,4712,1441,8,257,134,0,0,0,0,0,0,1200,1726,13295,0.79,138.6,20,118.5792519,74.17812,661.2008137,1064.879385,1079.181979,12.95632549,585.3321314,36.20814078,304.9854909,115.2989245,12.95632549,576.5079383,36.20814078,304.9854909,304.9854909,0.720589968,23.68037572,8.824193164,1740.382793,0,14.762918,3.696996,3.592289,3.572325,3.270551,3.36325,3.324227,3.657714,3.319593,2.892576,3.869524,6.926605,3.373873,312.5475,62.94244539,4.075644921,245.5294785,2606.339,114.7213603,30.15845118,0,2313.75507,1042.949679,-95900.81881,4.640888359,6.00000008,610.6666667,27208.95573,6797117.677,7540162.335,1676998.5,0,874883.04,5,0.001054,4.47,0.06,4.92,0.002531904,3.1,0.002221495,1.08,11352.89771,977252.1758,1297.5,2231,0.823968333,898.6666667,0.65905,352.8333333,0.309606667,44.33333333,0.031331667,965,98.66666667,94.66666667,771.6666667,0.101463333,2703.5,32.83333333,1522,79,829.5,240.1666667,32.83333333,1499.666667,79,785.3333333,240.1666667,1.333333333,42.83333333,22.33333333,0,0,0,0,0,0,200,287.6666667,2215.833333,0.131666667,23.1,3.333333333,19.76320866,12.36302,110.2001356,177.4798975,179.8636631,2.159387581,97.55535524,6.03469013,50.83091516,19.21648742,2.159387581,96.08465638,6.03469013,50.83091516,50.83091516,0.120098328,3.946729287,1.470698861,290.0637988,0,2.460486333,0.616166,0.598714833,0.5953875,0.545091833,0.560541667,0.554037833,0.609619,0.5532655,0.482096,0.644920667,1.154434167,0.562312167,52.09125,10.49040757,0.679274154,40.92157976,434.3898333,19.12022672,5.02640853,0,385.6258451,173.8249465,-15983.4698,0.773481393,1.000000013,101.7777778,4534.825956,1132852.946,1256693.723,279499.75,0,145813.84,0.833333333,0.000175667,0.745,0.01,0.82,0.000421984,0.516666667,0.000370249,0.18,1892.149619,162875.3626
24,8239,17206,9.37435,6700,8.92021,1353,1.7888,171,0.29087,7720,1793,2090,3837,2.56183,2078,249,354,18,1108,349,249,352,18,271,349,169,668,2,0,0,0,0,0,0,642,848,588,3.35,97.38996408,0.12,97.24893312,76.54646,1242.636573,2571.877308,308.0319131,38.6768578,54.51293556,3.040222675,42.66657004,47.46714098,38.6768578,54.32914723,3.040222675,42.66657004,42.66657004,30.78941212,90.87877393,0.183788328,1550.668486,0,2.856044,6.833408,6.404296,7.305696,6.38881,4.238663,5.539112,5.913639,4.398845,1.072299,4.49848,68.084652,1.465936,372.4696,9.202066555,54.00220587,309.2653373,1490.7023,0,60.90545187,346.2897385,472.2240473,788.8156049,5217.564026,10.55509968,11,452.3333333,39959.68427,9424511.241,13533644.06,2047801.26,0,1183039.15,10,0.001462,6.17,0.11,8.84,0.003091736,3.78,0.003003962,1.47,11173.22277,688423.3393,749,1564.181818,0.852213636,609.0909091,0.810928182,123,0.162618182,15.54545455,0.026442727,701.8181818,163,190,348.8181818,0.232893636,188.9090909,22.63636364,32.18181818,1.636363636,100.7272727,31.72727273,22.63636364,32,1.636363636,24.63636364,31.72727273,15.36363636,60.72727273,0.181818182,0,0,0,0,0,0,58.36363636,77.09090909,53.45454545,0.304545455,8.853633099,0.010909091,8.840812102,6.958769091,112.9669611,233.807028,28.00290119,3.516077982,4.955721414,0.27638388,3.878779094,4.315194634,3.516077982,4.939013384,0.27638388,3.878779094,3.878779094,2.799037465,8.261706721,0.01670803,140.9698623,0,0.259640364,0.621218909,0.582208727,0.664154182,0.580800909,0.385333,0.503555636,0.537603545,0.399895,0.097481727,0.408952727,6.189513818,0.133266909,33.86087273,0.836551505,4.909291443,28.11503067,135.5183909,0,5.536859261,31.48088531,42.92945885,71.71050953,474.3240024,0.959554517,1,41.12121212,3632.69857,856773.7492,1230331.278,186163.7509,0,107549.0136,0.909090909,0.000132909,0.560909091,0.01,0.803636364,0.000281067,0.343636364,0.000273087,0.133636364,1015.747525,62583.93993
41,20687,43383,23.80379,15526,22.4565,4511,6.68185,611,0.86126,18830,4419,5985,8426,7.08055,6971,1260,1110,207,3292,1102,1260,821,207,803,1102,656,1833,289,0,0,0,0,0,0,2217,2449,2305,10.8,331.4175889,0,331.3753228,331.26403,2065.03376,4432.508696,449.9496883,72.26996031,79.79938091,19.75395534,53.71975404,63.35380653,72.26996031,58.69584936,19.75395534,53.71975404,53.71975404,46.62218545,114.4306457,21.10353155,2514.983448,0,9.378941,13.722439,13.45084,14.979208,13.60648,9.889898,11.83879,12.97733,8.165438,3.385522,9.892057,765.609994,4.669195,896.5365,0,188.332193,708.2042629,3236.9263,0,183.25,1354.14709,266.442906,1582.833375,15198.5649,29.65971189,30.00000019,1773.333333,124487.7355,24793597.89,38633567.8,5665078.5,0,3562408.33,18,0.003848,16.23,0.3,25.25,0.00855304,10.43,0.009045634,4.42,35441.2779,2342917.429,689.5666667,1446.1,0.793459667,517.5333333,0.74855,150.3666667,0.222728333,20.36666667,0.028708667,627.6666667,147.3,199.5,280.8666667,0.236018333,232.3666667,42,37,6.9,109.7333333,36.73333333,42,27.36666667,6.9,26.76666667,36.73333333,21.86666667,61.1,9.633333333,0,0,0,0,0,0,73.9,81.63333333,76.83333333,0.36,11.04725296,0,11.04584409,11.04213433,68.83445866,147.7502899,14.99832294,2.408998677,2.659979364,0.658465178,1.790658468,2.111793551,2.408998677,1.956528312,0.658465178,1.790658468,1.790658468,1.554072848,3.814354857,0.703451052,83.8327816,0,0.312631367,0.457414633,0.448361333,0.499306933,0.453549333,0.329663267,0.394626333,0.432577667,0.272181267,0.112850733,0.329735233,25.52033313,0.155639833,29.88455,0,6.277739766,23.60680876,107.8975433,0,6.108333333,45.13823633,8.881430201,52.76111249,506.6188299,0.988657063,1.000000006,59.11111111,4149.591182,826453.263,1287785.593,188835.95,0,118746.9443,0.6,0.000128267,0.541,0.01,0.841666667,0.000285101,0.347666667,0.000301521,0.147333333,1181.37593,78097.24762
42,36324,75282,36.75472,27852,35.23282,6955,8.88601,1459,1.88056,28528,7089,10282,11157,11.63325,8838,653,788,97,6578,722,653,777,97,826,722,553,5199,11,0,0,0,0,0,0,2071,3051,3716,16.57,594.7038595,12.36,582.277838,582.11151,3160.562297,6532.385457,704.620074,63.31625403,60.6856596,7.555583113,70.59705316,65.0184186,63.31625403,59.80122591,7.555583113,70.59705316,70.59705316,37.94364661,399.5034589,0.884433689,3865.182371,0,2916.429704,18.432699,16.735035,22.559722,18.575395,13.0976,17.967775,18.866641,10.388376,3.363292,14.249132,524.34235,4.687226,1359.3349,81.19006574,327.9487668,950.1961377,4304.9115,87.32435859,464.9887594,2235.504095,955.5151286,1121.931915,23632.29557,40.12916486,46.99999992,1976.333333,107270.7179,37589935.49,63912560.2,6926513.93,1,4773441.37,28,0.005826,24.63,0.47,41.72,0.010457534,12.73,0.012120679,5.84,63430.07312,4206023.893,772.8510638,1601.744681,0.782015319,592.5957447,0.749634468,147.9787234,0.189064043,31.04255319,0.040011915,606.9787234,150.8297872,218.7659574,237.3829787,0.247515957,188.0425532,13.89361702,16.76595745,2.063829787,139.9574468,15.36170213,13.89361702,16.53191489,2.063829787,17.57446809,15.36170213,11.76595745,110.6170213,0.234042553,0,0,0,0,0,0,44.06382979,64.91489362,79.06382979,0.352553191,12.65327361,0.262978723,12.38889017,12.38535128,67.24600631,138.9869246,14.99191647,1.347154341,1.291184247,0.160757088,1.502064961,1.383370609,1.347154341,1.272366509,0.160757088,1.502064961,1.502064961,0.80731163,8.500073594,0.018817738,82.23792278,0,62.05169583,0.392185085,0.356064574,0.479994085,0.39522117,0.27867234,0.382293085,0.401417894,0.221029277,0.071559404,0.303173021,11.15622021,0.099728213,28.92201915,1.727448207,6.977633337,20.2169391,91.5938617,1.857965076,9.893377859,47.56391692,20.33010912,23.87089181,502.8147993,0.853812018,0.999999998,42.04964539,2282.355699,799785.8615,1359841.706,147372.6368,0.021276596,101562.5823,0.595744681,0.000123957,0.524042553,0.01,0.887659574,0.000222501,0.270851064,0.000257887,0.124255319,1349.576024,89489.87006
43,0,25,0.96,0,0,0,1,0,0,127,36,40,51,0.28346,198,0,58,1,119,20,0,58,1,101,20,0,18,0,0,0,0,0,0,0,34,60,104,0.17,879.39,128.69,750.69,2.38983,0,0.033302695,0.263757343,0,0.077262252,0.001332108,0.134542887,0.026642156,0,0.077262252,0.001332108,0.134542887,0.134542887,0,0.02397794,0,0.263757343,1,198,0.666484,0.574078,0.732744,0.567127,0.666484,0.453152,0.568821,0,0.458481,0.779095,0.641414,0.698664,44.2337,0.070286536,3.397182584,40.76619101,375.229,0,18.75479075,10.43755063,346.9812005,120.8459846,452.594004,0.927964378,1,579.3333333,493.9093333,941344.416,1281313.258,203731.33,0,88705.52,0,0.000146,0.62,0.01,0.84,0.00030759,0.38,0.00022524,0.11,13183.02553,6213223.438,0,25,0.96,0,0,0,1,0,0,127,36,40,51,0.28346,198,0,58,1,119,20,0,58,1,101,20,0,18,0,0,0,0,0,0,0,34,60,104,0.17,879.39,128.69,750.69,2.38983,0,0.033302695,0.263757343,0,0.077262252,0.001332108,0.134542887,0.026642156,0,0.077262252,0.001332108,0.134542887,0.134542887,0,0.02397794,0,0.263757343,1,198,0.666484,0.574078,0.732744,0.567127,0.666484,0.453152,0.568821,0,0.458481,0.779095,0.641414,0.698664,44.2337,0.070286536,3.397182584,40.76619101,375.229,0,18.75479075,10.43755063,346.9812005,120.8459846,452.594004,0.927964378,1,579.3333333,493.9093333,941344.416,1281313.258,203731.33,0,88705.52,0,0.000146,0.62,0.01,0.84,0.00030759,0.38,0.00022524,0.11,13183.02553,6213223.438
45,8624,22821,11.84892,7225,11.65493,1254,2.11995,130,0.22495,7239,2440,2444,2355,4.78355,67707,1192,60529,562,3629,1795,1192,1815,562,1698,1795,162,1769,58714,1479,0,1479,0,0,0,7040,13872,46795,4.52,170.4454976,0.19,170.2379786,165.55474,1102.687127,2849.00674,2790.899372,139.9244867,2049.452677,68.74377358,129.3634324,179.2517429,139.9244867,157.2116172,68.74377358,129.3634324,129.3634324,14.17949594,209.9837632,1892.24106,3893.586499,0,175.852838,8.032832,7.946809,7.801284,7.139428,7.146778,7.824529,8.73525,5.006308,3.697621,5.835748,50.445576,4.515539,517.6839,121.5814841,50.83298257,345.2693595,1580.3059,248.6673871,179.5029086,238.0430176,817.8178927,677.0510581,8977.277003,5.248652764,13.99999999,713,31213.3696,16894606.39,18554734.26,3295643.16,6,1107112.56,4,0.002623,11.09,0.14,12.12,0.004975707,6.08,0.00281117,1.34,18533.61649,1201713.012,616,1630.071429,0.846351429,516.0714286,0.832495,89.57142857,0.151425,9.285714286,0.016067857,517.0714286,174.2857143,174.5714286,168.2142857,0.341682143,4836.214286,85.14285714,4323.5,40.14285714,259.2142857,128.2142857,85.14285714,129.6428571,40.14285714,121.2857143,128.2142857,11.57142857,126.3571429,4193.857143,105.6428571,0,105.6428571,0,0,0,502.8571429,990.8571429,3342.5,0.322857143,12.1746784,0.013571429,12.15985562,11.82533857,78.76336622,203.5004814,199.3499551,9.99460619,146.3894769,4.910269542,9.240245171,12.80369592,9.99460619,11.22940123,4.910269542,9.240245171,9.240245171,1.012821138,14.99884023,135.1600757,278.1133214,0,12.560917,0.573773714,0.567629214,0.557234571,0.509959143,0.510484143,0.558894929,0.623946429,0.357593429,0.264115786,0.416839143,3.603255429,0.3225385,36.97742143,8.684391723,3.630927327,24.66209711,112.8789929,17.76195622,12.82163633,17.00307269,58.41556376,48.36078987,641.2340716,0.374903769,1,50.92857143,2229.5264,1206757.599,1325338.162,235403.0829,0.428571429,79079.46857,0.285714286,0.000187357,0.792142857,0.01,0.865714286,0.000355408,0.434285714,0.000200798,0.095714286,1323.829749,85836.64375
48,23148,33250,23.49853,20245,21.97501,2612,2.74817,261,0.27656,19233,4085,3575,11573,5.23264,35021,1632,10256,1841,12067,9225,1632,10214,1841,9253,9225,456,2358,42,0,0,0,0,0,0,7280,9724,18017,6.48,218.499904,0,218.4694369,218.46938,3289.004458,4538.060488,4115.27103,208.8410184,1157.636705,148.3293704,1158.030092,1170.334791,208.8410184,1153.453365,148.3293704,1158.030092,1158.030092,50.41858769,221.6804654,4.183339537,7404.275488,0,38.930021,18.260828,18.132012,16.639278,15.450549,15.946593,15.814215,17.312554,15.444505,10.711945,15.544767,35.30804,12.365924,660.58627,208.9720567,40.54277171,411.0713936,0,447.819977,0,0,0,0,15176.9979,16.39363415,25.00000002,8210.333333,683446.5227,33322087.85,34863459.81,8475327.66,1,4195999.34,20,0.005174,21.91,0.25,22.8,0.012795907,15.71,0.010654443,5.22,27037.3371,1542607.934,925.92,1330,0.9399412,809.8,0.8790004,104.48,0.1099268,10.44,0.0110624,769.32,163.4,143,462.92,0.2093056,1400.84,65.28,410.24,73.64,482.68,369,65.28,408.56,73.64,370.12,369,18.24,94.32,1.68,0,0,0,0,0,0,291.2,388.96,720.68,0.2592,8.739996159,0,8.738777475,8.7387752,131.5601783,181.5224195,164.6108412,8.353640737,46.30546819,5.933174815,46.3212037,46.81339164,8.353640737,46.13813461,5.933174815,46.3212037,46.3212037,2.016743508,8.867218616,0.167333581,296.1710195,0,1.55720084,0.73043312,0.72528048,0.66557112,0.61802196,0.63786372,0.6325686,0.69250216,0.6177802,0.4284778,0.62179068,1.4123216,0.49463696,26.4234508,8.358882268,1.621710868,16.44285575,0,17.91279908,0,0,0,0,607.079916,0.655745366,1.000000001,328.4133333,27337.86091,1332883.514,1394538.392,339013.1064,0.04,167839.9736,0.8,0.00020696,0.8764,0.01,0.912,0.000511836,0.6284,0.000426178,0.2088,1081.493484,61704.31735
50,7444,12634,3.5629,6095,3.30345,1308,0.6749,36,0.0216,5870,1032,1398,3440,0.7048,14192,1665,4134,4253,2896,1244,1665,4118,4253,1578,1244,39,1279,16,0,0,0,0,0,0,2699,3666,7827,0.8,203.9724963,3.25,200.7333064,193.0683,169.3721104,285.8673255,288.9904215,31.75512667,73.2222765,99.21770186,32.54315319,27.40564557,31.75512667,72.93868887,99.21770186,32.54315319,32.54315319,0.604235558,24.24228218,0.283587629,458.362532,0,7.239195,3.286345,3.286345,2.889335,2.835831,3.1764,3.167841,3.300055,2.540761,2.376359,2.649955,2.315047,2.596307,119.7946,28.75286176,6.208964202,84.83272564,197.6335,26.53666219,4.825779108,16.88510397,65.21134642,134.0335824,-97427.99873,0,1.700973739,741,11659.89854,5218695.125,5601299.72,836834.2,1,797441.54,4,0.00081,3.44,0.04,3.66,0.001263438,1.54,0.002024856,0.99,17466.26091,1440520.517,1861,3158.5,0.890725,1523.75,0.8258625,327,0.168725,9,0.0054,1467.5,258,349.5,860,0.1762,3548,416.25,1033.5,1063.25,724,311,416.25,1029.5,1063.25,394.5,311,9.75,319.75,4,0,0,0,0,0,0,674.75,916.5,1956.75,0.2,50.99312408,0.8125,50.18332661,48.267075,42.34302761,71.46683138,72.24760538,7.938781668,18.30556913,24.80442547,8.135788297,6.851411392,7.938781668,18.23467222,24.80442547,8.135788297,8.135788297,0.151058889,6.060570544,0.070896907,114.590633,0,1.80979875,0.82158625,0.82158625,0.72233375,0.70895775,0.7941,0.79196025,0.82501375,0.63519025,0.59408975,0.66248875,0.57876175,0.64907675,29.94865,7.18821544,1.552241051,21.20818141,49.408375,6.634165546,1.206444777,4.221275992,16.30283661,33.5083956,-24356.99968,0,0.425243435,185.25,2914.974635,1304673.781,1400324.93,209208.55,0.25,199360.385,1,0.0002025,0.86,0.01,0.915,0.00031586,0.385,0.000506214,0.2475,4366.565228,360130.1292
